product_id,category,revenue,units_sold
bb50f2e236e5eea0100680137654686c,beleza_saude,67258.03,194
d1c427060a0f73f6b889a5c7c61f2ac4,informatica_acessorios,58957.31,332
6cdd53843498f92890544667809f1595,beleza_saude,57933.73,153
99a4788cb24856965c36a24e339b6058,cama_mesa_banho,49907.5,477
3dd2a17168ec895c781a9191c1e95ad7,informatica_acessorios,47876.06,272
d6160fb7873f184099d9bc95e30376af,pcs,47314.18,33
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,44197.75,520
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,41725.81,63
25c38557cf793876c5abdd5931f922db,bebes,40311.95,38
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,39713.49,321
